,leagueId,number_of_teams,startId,endId,seasonId,status_code
0,24693394,9,24689393,24889393,2019,200
1,24693394,9,24689393,24889393,2020,200
2,24694001,10,24689393,24889393,2019,200
3,24694001,10,24689393,24889393,2020,200
4,24695946,12,24689393,24889393,2019,200
5,24695946,12,24689393,24889393,2020,200
6,24696195,11,24689393,24889393,2019,200
7,24696195,11,24689393,24889393,2020,200
8,24699835,11,24689393,24889393,2019,200
9,24699835,11,24689393,24889393,2020,200
10,24708636,8,24689393,24889393,2019,200
11,24708636,8,24689393,24889393,2020,200
12,24710723,13,24689393,24889393,2019,200
13,24710723,13,24689393,24889393,2020,200
14,24712271,12,24689393,24889393,2019,200
15,24712271,12,24689393,24889393,2020,200
16,24713242,10,24689393,24889393,2019,200
17,24713242,10,24689393,24889393,2020,200
18,24716642,10,24689393,24889393,2019,200
19,24716642,10,24689393,24889393,2020,200
20,24722759,4,24689393,24889393,2019,200
21,24722759,4,24689393,24889393,2020,200
22,24723853,4,24689393,24889393,2019,200
23,24723853,4,24689393,24889393,2020,200
24,24726852,10,24689393,24889393,2019,200
25,24726852,10,24689393,24889393,2020,200
26,24727835,10,24689393,24889393,2019,200
27,24727835,10,24689393,24889393,2020,200
28,24732793,10,24689393,24889393,2019,200
29,24732793,10,24689393,24889393,2020,200
30,24737668,8,24689393,24889393,2019,200
31,24737668,8,24689393,24889393,2020,200
32,24737914,10,24689393,24889393,2019,200
33,24737914,10,24689393,24889393,2020,200
34,24738884,10,24689393,24889393,2019,200
35,24738884,10,24689393,24889393,2020,200
36,24742653,8,24689393,24889393,2019,200
37,24742653,8,24689393,24889393,2020,200
38,24749365,14,24689393,24889393,2019,200
39,24749365,14,24689393,24889393,2020,200
40,24753044,12,24689393,24889393,2019,200
41,24753044,12,24689393,24889393,2020,200
42,24754005,8,24689393,24889393,2019,200
43,24754005,8,24689393,24889393,2020,200
44,24754174,10,24689393,24889393,2019,200
45,24754174,10,24689393,24889393,2020,200
46,24756669,16,24689393,24889393,2019,200
47,24756669,16,24689393,24889393,2020,200
48,24757340,10,24689393,24889393,2019,200
49,24757340,10,24689393,24889393,2020,200
50,24757703,12,24689393,24889393,2019,200
51,24757703,12,24689393,24889393,2020,200
52,24760164,9,24689393,24889393,2019,200
53,24760164,9,24689393,24889393,2020,200
54,24764413,10,24689393,24889393,2019,200
55,24764413,10,24689393,24889393,2020,200
56,24765603,12,24689393,24889393,2019,200
57,24765603,12,24689393,24889393,2020,200
58,24765771,10,24689393,24889393,2019,200
59,24765771,10,24689393,24889393,2020,200
60,24766035,10,24689393,24889393,2019,200
61,24766035,10,24689393,24889393,2020,200
62,24772428,12,24689393,24889393,2019,200
63,24772428,12,24689393,24889393,2020,200
64,24775634,10,24689393,24889393,2019,200
65,24775634,10,24689393,24889393,2020,200
66,24779438,8,24689393,24889393,2019,200
67,24779438,8,24689393,24889393,2020,200
68,24786712,20,24689393,24889393,2019,200
69,24786712,20,24689393,24889393,2020,200
70,24791675,8,24689393,24889393,2019,200
71,24791675,8,24689393,24889393,2020,200
72,24792271,8,24689393,24889393,2019,200
73,24792271,8,24689393,24889393,2020,200
74,24795811,10,24689393,24889393,2019,200
75,24795811,10,24689393,24889393,2020,200
76,24808253,12,24689393,24889393,2019,200
77,24808253,12,24689393,24889393,2020,200
78,24812924,10,24689393,24889393,2019,200
79,24812924,10,24689393,24889393,2020,200
80,24821574,12,24689393,24889393,2019,200
81,24821574,12,24689393,24889393,2020,200
82,24823715,12,24689393,24889393,2019,200
83,24823715,12,24689393,24889393,2020,200
84,24823724,10,24689393,24889393,2019,200
85,24823724,10,24689393,24889393,2020,200
86,24828062,9,24689393,24889393,2019,200
87,24828062,9,24689393,24889393,2020,200
88,24828384,12,24689393,24889393,2019,200
89,24828384,12,24689393,24889393,2020,200
90,24828696,10,24689393,24889393,2019,200
91,24828696,10,24689393,24889393,2020,200
92,24830262,12,24689393,24889393,2019,200
93,24830262,12,24689393,24889393,2020,200
94,24831845,10,24689393,24889393,2019,200
95,24831845,10,24689393,24889393,2020,200
96,24833027,8,24689393,24889393,2019,200
97,24833027,8,24689393,24889393,2020,200
98,24835863,8,24689393,24889393,2019,200
99,24835863,8,24689393,24889393,2020,200
100,24836621,14,24689393,24889393,2019,200
101,24836621,14,24689393,24889393,2020,200
102,24837828,12,24689393,24889393,2019,200
103,24837828,12,24689393,24889393,2020,200
104,24838342,10,24689393,24889393,2019,200
105,24838342,10,24689393,24889393,2020,200
106,24840092,12,24689393,24889393,2019,200
107,24840092,12,24689393,24889393,2020,200
108,24844285,8,24689393,24889393,2019,200
109,24844285,8,24689393,24889393,2020,200
110,24850258,10,24689393,24889393,2019,200
111,24850258,10,24689393,24889393,2020,200
112,24858121,10,24689393,24889393,2019,200
113,24858121,10,24689393,24889393,2020,200
114,24861249,8,24689393,24889393,2019,200
115,24861249,8,24689393,24889393,2020,200
116,24861619,14,24689393,24889393,2019,200
117,24861619,14,24689393,24889393,2020,200
118,24861883,10,24689393,24889393,2019,200
119,24861883,10,24689393,24889393,2020,200
120,24862907,13,24689393,24889393,2019,200
121,24862907,13,24689393,24889393,2020,200
122,24863606,10,24689393,24889393,2019,200
123,24863606,10,24689393,24889393,2020,200
124,24869044,10,24689393,24889393,2019,200
125,24869044,10,24689393,24889393,2020,200
126,24869819,12,24689393,24889393,2019,200
127,24869819,12,24689393,24889393,2020,200
128,24870444,10,24689393,24889393,2019,200
129,24870444,10,24689393,24889393,2020,200
130,24872956,13,24689393,24889393,2019,200
131,24872956,13,24689393,24889393,2020,200
132,24877917,8,24689393,24889393,2019,200
133,24877917,8,24689393,24889393,2020,200
134,24884336,12,24689393,24889393,2019,200
135,24884336,12,24689393,24889393,2020,200
136,24892740,12,24889393,25089393,2019,200
137,24892740,12,24889393,25089393,2020,200
138,24893824,4,24889393,25089393,2019,200
139,24893824,4,24889393,25089393,2020,200
140,24897922,12,24889393,25089393,2019,200
141,24897922,12,24889393,25089393,2020,200
142,24899119,10,24889393,25089393,2019,200
143,24899119,10,24889393,25089393,2020,200
144,24899819,10,24889393,25089393,2019,200
145,24899819,10,24889393,25089393,2020,200
146,24900279,10,24889393,25089393,2019,200
147,24900279,10,24889393,25089393,2020,200
148,24907145,8,24889393,25089393,2019,200
149,24907145,8,24889393,25089393,2020,200
150,24907780,10,24889393,25089393,2019,200
151,24907780,10,24889393,25089393,2020,200
152,24909507,10,24889393,25089393,2019,200
153,24909507,10,24889393,25089393,2020,200
154,24910386,8,24889393,25089393,2019,200
155,24910386,8,24889393,25089393,2020,200
156,24914620,8,24889393,25089393,2019,200
157,24914620,8,24889393,25089393,2020,200
158,24917447,11,24889393,25089393,2019,200
159,24917447,11,24889393,25089393,2020,200
160,24924212,8,24889393,25089393,2019,200
161,24924212,8,24889393,25089393,2020,200
162,24932768,9,24889393,25089393,2019,200
163,24932768,9,24889393,25089393,2020,200
164,24941806,10,24889393,25089393,2019,200
165,24941806,10,24889393,25089393,2020,200
166,24948282,10,24889393,25089393,2019,200
167,24948282,10,24889393,25089393,2020,200
168,24953816,8,24889393,25089393,2019,200
169,24953816,8,24889393,25089393,2020,200
170,24954004,10,24889393,25089393,2019,200
171,24954004,10,24889393,25089393,2020,200
172,24954442,11,24889393,25089393,2019,200
173,24954442,11,24889393,25089393,2020,200
174,24958755,12,24889393,25089393,2019,200
